,VH_20170401,VH_20170408,VH_20170415,VH_20170422,VH_20170429,VH_20170506,VH_20170513,VH_20170520,VH_20170527,VH_20170603,VH_20170610,VH_20170617,VH_20170624,VH_20170701,VH_20170708,VH_20170715,VH_20170722,VV_20170401,VV_20170408,VV_20170415,VV_20170422,VV_20170429,VV_20170506,VV_20170513,VV_20170520,VV_20170527,VV_20170603,VV_20170610,VV_20170617,VV_20170624,VV_20170701,VV_20170708,VV_20170715,VV_20170722,gws_gewasc
00017375a6e114db9e02,0.0120356797279,0.0114508720949,0.00930742360186,0.0082112256142,0.00824123595074,0.0141640202073,0.0116653070951,0.0102155425373,0.0080101338915,0.00933318969157,0.00980520348525,0.0118336066833,0.0145590927572,0.0101114294942,0.0108461468318,0.0102282312028,0.0133556370786,0.045859102943,0.0394115856287,0.0330840786968,0.0305268748451,0.0223122574803,0.0352122554139,0.039319948696,0.0288897721858,0.027714028713,0.0357458802254,0.0304547168426,0.0427968867683,0.0502608901201,0.0348564140316,0.0370045142066,0.0336884163003,0.0476941345899,0
0001cc15a0e9514f6151,0.0122583180905,0.0106975649936,0.00808798629938,0.00856590463319,0.00812182525695,0.00737797393637,0.0164090587498,0.0159604613455,0.0124495736922,0.0108275096224,0.00996314975039,0.0121803520535,0.014724668124,0.0117297875984,0.0121815173449,0.0122205430865,0.0143292333241,0.0372396314071,0.0343671904614,0.0311846620412,0.0281415413569,0.0224388326931,0.0214879843745,0.0484813184879,0.0425607298791,0.0351545734252,0.0329339699743,0.0393491419063,0.0498658330802,0.0482046449144,0.0387278105288,0.0386301470529,0.0387715468314,0.0454255522014,0
0001c17a22693b3eabeb,0.009153094207,0.00884564422307,0.010109468925,0.0128182674319,0.0148920818654,0.014962931251,0.0140330522011,0.0111675224234,0.0101728989031,0.0115746327802,0.0112107857671,0.0117855293412,0.0171720681001,0.0117647230985,0.0128673158776,0.0133211898709,0.01511616495,0.02956148812,0.0297322846188,0.0344392887808,0.0391328711945,0.0386569951781,0.0388611929594,0.0443437323143,0.0322524844842,0.0309779046967,0.041865235623,0.0362131224995,0.04470942122,0.051141576861,0.0390464866608,0.0384333533187,0.0459365880158,0.0496314037965,0
0001a30d09dff0eef47f,0.0112257628249,0.00922959441095,0.00776840918314,0.0083709224451,0.0091575192637,0.0127812685394,0.0150605211748,0.0114096509391,0.00918065575543,0.00863228777861,0.0110670536585,0.0150195560816,0.0162405769367,0.0115680212646,0.0143812990458,0.0140340436486,0.015318196727,0.0435707082689,0.0342758323289,0.0283692834804,0.0301278028691,0.0259396660467,0.0339804864079,0.0435693341927,0.0291274347984,0.0275429547571,0.0324723107544,0.0323854335833,0.0471315490997,0.0461580841676,0.041747796071,0.0498351900127,0.0461726480245,0.0546895400187,0
0001b6ad2f3bf396aa41,0.00943588100606,0.0111934466777,0.0090423984086,0.00863519028504,0.00828337157643,0.00967832716199,0.0116309489009,0.0105124287571,0.0121009661982,0.015249044198,0.0157755213607,0.0178453047743,0.0167821834876,0.0102073670631,0.0118284682264,0.00966749279077,0.0121089839685,0.0353741491415,0.0396685119455,0.0344937828025,0.0325698507133,0.0264348326958,0.0282570829081,0.0379613085953,0.0320669218536,0.0372440979885,0.0505524058039,0.0575735253738,0.0684458627008,0.0571353905164,0.0355940524921,0.0363250192306,0.0320403194518,0.0419683089829,0
0001af74fbc3e5e6d45a,0.00797140754197,0.0149959635131,0.0106412038365,0.00927069357942,0.00770465037472,0.00649058648098,0.00714652515071,0.00545701171958,0.00562835755809,0.00850842134374,0.00849935056812,0.0161586869524,0.0263559913984,0.0229573506152,0.0249814433164,0.0242385945421,0.0248468772887,0.0642136248346,0.098798223429,0.0701119406441,0.0620511127675,0.0450395297371,0.0539982189582,0.059565983964,0.0380533411611,0.0375392646219,0.0512801567049,0.0477448776992,0.089208497778,0.129038227857,0.134836445439,0.118229889561,0.110589380265,0.109647097887,1
00014a875abcf3ec9e21,0.00974662200511,0.0110756781854,0.0117842623174,0.0127966092964,0.0111582618377,0.0110393719039,0.0107939292255,0.0133837950357,0.0127606325623,0.0116422172162,0.0108516941196,0.0138604728031,0.0160247184861,0.0100176961293,0.0111721117786,0.0117100318825,0.0142817058933,0.0349498496964,0.0366855289852,0.0384455335457,0.0418063494953,0.0360615914777,0.0326306337638,0.0344979408175,0.0408030836251,0.0367877457619,0.0372198000901,0.0347196259108,0.0482842251706,0.0503986820122,0.0332582955466,0.0354131701884,0.037285018685,0.0501593575415,0
000115112d8974ff9a04,0.0119815321098,0.0110835272519,0.00884303102921,0.00866251116044,0.00778801661026,0.0117871493882,0.0143264619444,0.0109375548813,0.00948157741037,0.00936599804623,0.0103465802399,0.0142577282731,0.0160116579081,0.0114666084716,0.0129292440435,0.0115572912419,0.014167046102,0.0447556224296,0.0371835529064,0.0316133107597,0.0298000614673,0.0247601629212,0.0372451138747,0.04554172849,0.0323073329201,0.0293467778181,0.0347281506987,0.0311233098391,0.0466285331525,0.0517609206069,0.0405919790384,0.0428957112107,0.044722600402,0.0488123784626,0
00012e0f2c7bc19c5973,0.0112657317592,0.0108553625715,0.00950001806247,0.00897381498286,0.00818161460684,0.0122865759222,0.0152940855531,0.0107044730456,0.0096343883573,0.0099326249419,0.0123356409719,0.015420308999,0.0183106129559,0.0120800255666,0.0130332844165,0.0121197845423,0.0132709952301,0.0430801697596,0.0376035659345,0.0324007361489,0.0323271772786,0.0251342340451,0.0341109089526,0.0490072093467,0.0347458372074,0.0305042597075,0.0344093380158,0.0337559509006,0.050326925375,0.0548663859929,0.0420426954945,0.0416724699619,0.0451037748723,0.0432072677574,0
00011d9a756bc70bc7a8,0.00913926307054,0.0101830531888,0.00931225692961,0.00969756120034,0.00996755050706,0.0120950036948,0.014927460672,0.0135748672892,0.0145413913542,0.0164850147585,0.0143154391688,0.0200764492096,0.0249129225629,0.0202357766007,0.0229791932734,0.0199250163919,0.0179044937725,0.0527558981423,0.0576807514637,0.0466275715512,0.047299537367,0.0425228304778,0.0406753519732,0.0477932671661,0.03937032831,0.0414425602989,0.0484436537052,0.0476601226966,0.0699337156228,0.0682270993971,0.0706895498801,0.0731049755697,0.065365741689,0.0544105790715,0
